Author,Instrument,Band,Separation,Sep. Err.,PA,PA Error,Epoch,MJD,x (mas),x err (mas),y (mas),y err (mas),Notes
,,,,,,,,53200,1471,6,884,6,
,,,,,,,,54314,1504,3,837,3,
,,,,,,,,54398,1500,7,836,7,
,,,,,,,,54727,1516,4,818,4,
,,,,,,,,55042,1526,4,797,4,
,,,,,,,,55044,1531,7,794,7,NOTE: might want to avoid fitting this point; very close to the previous epoch (Jul 30 09 vs Aug 1 09)
,,,,,,,,55136,1524,10,795,10,
,,,,,,,,55390,1532,5,783,5,
,,,,,,,,55499,1535,15,766,15,
,,,,,,,,55763,1541,5,762,5,
,,,,,,,,56130,1545,5,747,5,
,,,,,,,,56266,1549,4,743,4,
,,,,,,,,56581,1545,22,724,22,
,,,,,,,,56855,1560,13,725,13,
