Author,Instrument,Band,Separation mas),Separation Error,PA,PA Error,Epoch,JD,MJD,MJD,x (mas),x error(mas),"y ("")",y error (mas)
Kalas+2014,ACS/HRC,,,,,,2004 Oct 25/26,53304,3304,3304,-8587,24,9175,17
Kalas+2014,ACS/HRC,,,,,,2006 Jul 17/20,53935,3935,3935,-8597,22,9365,19
Kalas+2014,STIS,,,,,,2010 Sep 13,55453,5453,5453,-8828,42,9822,44
Kalas+2014,STIS,,,,,,2012 May 29/31,56078,6078,6078,-8915,35,10016,37
private communication,,,,,,,2013 June 1,56443.8,6444,6444,-9080,35,10221,37
,,,,,,,,,6809,6809,-9042,35,10197,37
,,,,,,,,,7174,7174,-9093,35,10299,37
,,,,,,,,,7539,7539,-9144,35,10400,37
,,,,,,,,,7904,7904,-9194,35,10500,37
,,,,,,,,,8269,8269,-9244,35,10600,37
